time,deep,pinnacle,axis,hydrates,mideast,node,upperslope
2013-07-01,,-0.3164,,-0.1369,-0.075,,-0.7751
2013-08-01,,-0.9958,,-0.1329,0.0835,,-0.4696
2013-09-01,,0.5989,,0.5278,0.5092,,0.1409
2013-10-01,,-0.097,-0.0122,0.1219,0.1731,,-0.785
2013-11-01,,-1.6975,0.184,0.5484,0.4876,,0.0705
2013-12-01,,-1.8116,-0.3038,-0.232,-0.0144,,-0.4032
2014-01-01,,-1.4889,0.5102,0.7377,0.7193,,0.506
2014-02-01,,-1.1223,,-0.3435,-0.3039,,0.718
2014-03-01,,-0.1004,-0.4392,-0.0394,-0.1526,,0.2823
2014-04-01,,-0.0118,-0.0156,0.6299,0.39,,0.3723
2014-05-01,,0.3712,0.3335,0.6832,0.5079,,0.8239
2014-06-01,,-0.461,-0.168,-0.0703,-0.0238,,0.0201
2014-07-01,,0.3477,0.0239,0.2575,0.4136,,1.0883
2014-08-01,,-0.2743,-0.7953,,-0.6015,,0.4048
2014-09-01,,0.2686,-0.2742,,-0.0375,,0.3352
2014-10-01,,1.1431,0.2755,,0.4278,,0.3946
2014-11-01,,1.4733,-0.4864,,-0.3104,,-0.0043
2014-12-01,,1.4392,-0.4196,,-0.2001,,0.4741
2015-01-01,,1.2482,-0.0594,,0.092,,-0.4085
2015-02-01,,1.8062,,,,,
2015-03-01,,1.5165,,,,,
2015-07-01,,1.2635,,,,,
2015-08-01,,0.8986,,,,,
2015-09-01,,1.3747,,,,,
2015-10-01,,0.5048,0.1254,0.1551,,,0.3666
2015-11-01,,0.7362,-0.5068,-0.4881,,,-0.2265
2015-12-01,,0.5479,-0.3253,-0.0466,,,1.2758
2016-01-01,0.822,0.3921,-0.5247,-0.5609,,,1.0816
2016-02-01,1.2858,1.5136,-1.16,-1.1847,,,-0.0362
2016-03-01,1.6932,2.0288,-1.1117,-0.9416,,,0.3556
2016-04-01,1.5871,1.8593,-1.378,-1.5752,,,-1.2779
2016-05-01,0.9336,0.896,-1.65,-2.1028,,,-1.737
2016-06-01,0.6468,0.5291,-1.4088,,-1.7075,,-1.0574
2016-07-01,0.6859,0.4893,-1.2459,,-1.5586,,-1.5513
2016-08-01,-0.7365,0.1378,-0.9066,,-0.9344,,-1.3441
2016-09-01,-0.9851,-0.2687,-0.9355,,-1.0357,,-0.4843
2016-10-01,0.772,0.2586,-0.7752,,-0.5623,,0.7354
2016-11-01,1.9817,1.2574,-0.1761,,-0.0521,,0.5305
2016-12-01,1.4074,0.4173,-0.6767,,-0.5545,,-0.6755
2017-01-01,-0.4974,-0.6831,-0.0938,,0.129,,0.4043
2017-02-01,-0.6435,-0.468,-0.1783,,-0.0022,,0.5002
2017-03-01,-0.042,0.2627,0.0472,,0.3153,,0.1881
2017-04-01,0.9313,0.8241,-0.3596,,-0.288,,0.601
2017-05-01,1.9674,0.5051,-0.4187,,-0.4239,,-0.3308
2017-06-01,1.6685,,-0.39,,-0.1331,,0.4483
2017-07-01,0.7078,,-0.4766,,-0.3456,,0.1188
2017-08-01,0.3941,,-0.2033,,-0.0437,,0.2547
2017-09-01,0.5202,,-0.193,,-0.1136,,0.1136
2017-10-01,-0.3844,,-0.7034,,-0.6272,,-0.5965
2017-11-01,-0.4307,,-0.6258,,-0.4537,,0.6497
2017-12-01,-0.0236,,-0.7251,,-0.6155,,-0.4769
2018-01-01,-0.8284,,-0.6759,,-0.5569,,0.4488
2018-02-01,,,-0.497,,-0.4623,,-0.8605
2018-03-01,,,0.1711,,0.5327,,0.7649
2018-04-01,,,-0.521,,-0.5206,,0.0846
2018-05-01,,,0.0746,,0.2652,,0.4889
2018-06-01,,,-0.2079,,-0.1846,-0.5458,0.3011
2018-07-01,0.7948,,0.1177,,0.2447,-0.2119,-0.0436
2018-08-01,0.1223,,-0.1933,-0.0647,0.063,0.0656,0.3696
2018-09-01,0.272,,-0.4535,-0.2278,-0.1843,-0.2513,0.1333
2018-10-01,-0.2009,,0.2159,0.6286,0.5336,0.6309,0.5358
2018-11-01,-0.5751,,0.2316,0.3839,0.3446,0.7058,-0.4863
2018-12-01,-0.2977,,0.4002,0.8291,0.7949,0.6845,
2019-01-01,0.3692,,0.2287,0.4771,0.4698,0.4131,
2019-02-01,0.2548,,-0.3222,0.2909,0.2383,0.257,
2019-03-01,0.2883,,-0.6285,-0.148,-0.347,0.0835,
2019-04-01,0.4856,,-0.4799,-0.2113,-0.3684,-0.2013,
2019-05-01,0.454,,-0.181,0.1628,-0.0168,-0.2715,0.4462
2019-06-01,0.4313,,-0.7476,-0.9885,-0.8506,-1.1156,-0.8605
2019-07-01,1.1969,,-0.7924,-0.7674,-0.6154,-0.7748,-0.2711
2019-08-01,1.4088,,-0.6504,-0.9597,-0.6429,-1.077,-0.8841
2019-09-01,1.8303,,-0.623,-0.7565,-0.4551,-0.7288,-0.0241
2019-10-01,,-0.4874,-0.3582,-0.3288,-0.2362,-0.6531,-1.3053
2019-11-01,,-0.9633,0.0782,0.264,0.2112,-0.0049,-0.4573
2019-12-01,,-0.8574,0.44,0.6154,0.621,0.5101,0.9071
2020-01-01,,-0.0774,-0.4278,-0.3585,-0.2419,-0.1736,0.082
2020-02-01,,0.3471,,,,,
2020-03-01,-0.9191,-0.5726,0.2157,0.9614,,,
2020-04-01,-0.995,-0.4266,-0.815,-0.7786,,,
2020-05-01,0.1667,1.5927,-0.7945,-0.8194,,,
2020-06-01,0.6267,0.4571,-0.8623,-0.9748,,,
2020-07-01,-0.1388,0.0163,-0.7285,-1.1558,,,
2020-08-01,-1.0295,0.0547,-0.4873,-0.7121,,,
2020-09-01,-1.114,-0.0014,-0.3075,-0.2981,,,
2020-10-01,-0.5266,-0.2806,-0.829,-0.9163,,,
2020-11-01,-1.0006,-0.7356,-0.5832,-0.6503,,,
2020-12-01,-1.4592,-0.6411,,-0.7875,,,
2021-01-01,-0.6255,0.2626,,-0.3968,,,
2021-02-01,-0.5731,-0.2988,,-0.3748,-0.6595,,-0.4994
2021-03-01,-0.9452,-0.4147,-0.379,-0.7459,-0.1167,-0.474,-0.4367
2021-04-01,-1.3424,-0.7472,-0.2556,-0.0608,-0.1745,-0.3362,-0.7789
2021-05-01,-1.3957,-0.6257,0.1532,0.4831,0.3497,0.2287,-0.1437
2021-06-01,-0.8267,0.2586,0.1903,0.3259,0.3495,0.0731,0.3333
2021-07-01,-0.761,-0.0024,-0.1951,0.1087,0.1559,0.0708,0.5488
2021-08-01,-0.5458,-0.1368,-0.077,-0.167,0.0128,-0.2858,0.1514
2021-09-01,-0.8913,-0.5373,-0.1656,0.1099,0.124,0.0068,-0.2133
2021-10-01,0.0608,0.0504,-0.1114,0.0472,0.1006,-0.095,0.0788
2021-11-01,0.839,0.3151,-0.4662,-0.4242,-0.2903,-0.3219,-0.2911
2021-12-01,0.1671,-0.0531,-0.7447,-0.8832,-0.5857,-0.7485,-0.4264
2022-01-01,-0.9122,-0.6957,-0.3467,-0.508,-0.3063,-0.2659,-0.1597
2022-02-01,-1.6586,-0.4788,-0.5713,-0.4962,-0.3935,-0.4974,-0.4066
2022-03-01,-1.1964,-0.3969,-0.0509,0.4396,0.2365,0.5715,0.0667
2022-04-01,-1.1226,-0.6694,0.0897,0.3625,0.185,0.1351,0.0144
2022-05-01,-0.6723,-0.2521,-0.5536,-0.526,-0.5515,-0.5742,-0.3251
2022-06-01,-0.6373,0.0914,0.0613,0.1633,0.2332,-0.0875,-0.2759
2022-07-01,-0.5466,-0.2034,-0.1156,-0.026,0.0892,-0.3626,0.0989
2022-08-01,-0.8685,0.1487,-0.1351,0.0633,0.2368,0.0803,0.3624
2022-09-01,-0.6696,-0.5938,0.0261,0.3011,0.3382,-0.0166,0.3863
2022-10-01,-1.0184,-1.0936,-0.51,-0.6755,-0.4374,-0.4686,0.2739
2022-11-01,-1.0448,-0.9588,-0.2133,-0.3429,-0.2109,-0.4999,-0.2818
2022-12-01,-1.3501,-0.9644,-0.0404,0.0061,0.1172,-0.1054,0.2127
2023-01-01,-1.292,0.123,-0.0593,0.0785,0.1281,0.0181,-0.0483
2023-02-01,-0.9143,-0.1716,0.0017,0.2057,0.2474,-0.6256,-0.91
2023-03-01,-0.9976,-0.8773,-0.3269,0.0714,-0.0875,0.227,0.2659
2023-04-01,-0.6033,-0.3771,-0.2924,0.0486,-0.1002,0.2459,0.7995
2023-05-01,-0.0166,-0.4883,0.2748,0.8733,0.6184,1.1302,1.1269
2023-06-01,-0.1393,-0.164,0.4463,0.9453,0.8468,1.2787,1.6394
2023-07-01,0.2758,0.0317,0.0937,0.4101,0.3235,0.4001,1.2298
2023-08-01,1.5174,0.67,0.8924,1.3901,1.2727,1.1209,1.1701
2023-09-01,1.1307,0.0264,-0.1086,0.0999,0.1066,0.6908,0.9259
2023-10-01,1.4365,0.9869,-0.093,0.3652,0.2145,0.4635,0.6319
2023-11-01,0.4669,0.5796,0.0151,0.3936,0.382,0.6177,0.6029
2023-12-01,0.6591,,-0.1353,0.3339,0.3191,0.3584,0.6733
2024-01-01,0.7686,,-0.0699,0.3747,0.3207,0.3539,0.0892
2024-02-01,1.1462,,-0.3288,0.4122,0.2873,0.4776,0.746
2024-03-01,1.0804,,-0.9959,-0.4483,-0.6127,-0.2107,-0.3756
2024-04-01,0.7356,1.0158,-1.0031,-0.95,-1.1054,-0.6871,-0.746
2024-05-01,-0.3278,-0.1831,-0.8174,-0.741,-0.7927,-0.8665,-0.9264
2024-06-01,-0.8411,-0.1375,-0.5781,-0.7117,-0.542,-0.8256,-1.1375
2024-07-01,-1.3049,-0.1271,-0.2353,-0.4964,-0.2581,-0.6771,-0.8452
2024-08-01,-0.5253,-0.0838,0.0498,0.1868,0.3068,-0.1644,-0.4018
2024-09-01,-0.2792,-0.4531,-0.2943,-0.3675,-0.1706,-0.3285,-0.6222
2024-10-01,-0.9705,-0.8813,0.1941,0.4479,0.3325,0.1498,-0.2587
2024-11-01,-0.6343,-0.0213,-0.2952,-0.1511,-0.1041,-0.4049,-0.4505
2024-12-01,0.2657,0.4479,-0.0614,0.1234,0.1893,-0.4332,-0.5416
2025-01-01,0.8523,0.6674,-0.1248,-0.2411,-0.0312,-0.524,-1.1805
2025-02-01,-0.0539,-0.6622,-0.3464,-0.1447,-0.1131,-0.184,-0.0673
2025-03-01,-0.2906,0.3866,-0.1678,0.2639,0.1219,-0.07,-0.1789
2025-04-01,0.2926,0.5348,0.1162,0.5071,0.3415,-0.1722,-0.5948
2025-05-01,-1.0801,-0.2495,0.1433,0.5006,0.3979,0.3719,-0.2919
2025-06-01,-1.4303,-0.4083,0.1594,0.3569,0.3618,0.1469,-0.0208
2025-07-01,-1.1705,-0.6105,0.5416,1.1294,0.9601,0.9815,0.4513
2025-08-01,0.2863,-0.0343,-0.0943,-0.0707,0.0637,0.1754,0.7753
2025-09-01,0.4255,-0.3139,-0.1583,0.202,0.1755,0.2447,0.4268
2025-10-01,0.7862,0.0718,0.1459,0.1619,0.1982,0.2321,0.6437
2025-11-01,0.5009,0.5236,-0.0525,0.0019,0.0503,-0.1502,0.2193
2025-12-01,0.5258,1.0361,-0.068,0.2097,0.2498,0.1198,0.3691
2026-01-01,1.2787,1.1556,-0.3138,-0.1549,-0.0768,0.1439,0.0102
2026-02-01,0.7113,1.0887,0.1826,0.8029,0.7222,0.7863,0.7828
2026-03-01,0.7621,1.0647,-0.4094,-0.0676,-0.1665,-0.1743,-0.4432
2026-04-01,-0.2019,0.3028,0.5966,1.0231,0.8192,1.0757,0.7283
2026-05-01,0.1227,0.2566,-0.2272,-0.1231,-0.1629,-0.052,0.6474
2026-06-01,0.3468,0.632,1.1146,1.2974,1.283,0.8663,1.0092
2026-07-01,0.3115,0.5826,0.2605,0.8479,0.662,0.9259,1.2767
2026-08-01,,0.4432,0.0298,0.4619,0.6789,0.4584,1.3528
2026-09-01,,1.3875,0.5536,,0.9619,1.2024,1.6736
